adm_cd,gu,emd_nm,pop_total,pop_65p,lat,lon,min_dist_m,cov200_pop_share,cov300_pop_share,cov200_area_share,cov300_area_share
34011110,동남구,목천읍,22263,4976,36.7884508109134,127.21256620721387,1376.9465982890895,0.024893629490324014,0.052226647946194485,0.024893629490324014,0.052226647946194485
34011310,동남구,풍세면,10469,2067,36.73769028542859,127.1223314796174,832.5467360633459,0.03157821405022624,0.06696409759387338,0.03157821405022624,0.06696409759387338
34011320,동남구,광덕면,3996,1735,36.67663679729544,127.0926710435101,1296.1643161687787,0.0072463437272156875,0.015815795015702436,0.0072463437272156875,0.015815795015702436
34011330,동남구,북면,4113,1648,36.83507046594774,127.27181671912841,854.3175804518617,0.00431153236480594,0.009700947820813063,0.00431153236480594,0.009700947820813063
34011340,동남구,성남면,2811,1283,36.73215699321312,127.23656769430184,1181.1902168266568,0.01571951459976773,0.03618165248850511,0.01571951459976773,0.03618165248850511
34011350,동남구,수신면,2074,920,36.725209015493725,127.28580529049596,592.1333186202346,0.018681624615045904,0.04099778860466932,0.018681624615045904,0.04099778860466932
34011360,동남구,병천면,5952,1946,36.79538337382537,127.31294501727307,1815.1449324545129,0.013298165051662715,0.02866707642543598,0.013298165051662715,0.02866707642543598
34011370,동남구,동면,1905,966,36.781065123411736,127.36716149018424,2103.8085513673445,0.008727675578450906,0.019637270051513934,0.008727675578450906,0.019637270051513934
34011510,동남구,중앙동,4612,1636,36.80313710074423,127.14956916021836,414.2577875874345,0.30029678390977044,0.5343284189568004,0.30029678390977044,0.5343284189568004
34011520,동남구,문성동,7808,1221,36.8124819336185,127.15245274216797,100.59592893169555,0.3992971314087018,0.7751907427572803,0.3992971314087018,0.7751907427572803
34011530,동남구,원성1동,7649,2203,36.81458097048975,127.18262722149318,532.7867889012006,0.08104397053445603,0.18122864090925928,0.08104397053445603,0.18122864090925928
34011540,동남구,원성2동,8701,2723,36.80254458016256,127.15870504221631,354.3443386116263,0.1855109499741095,0.3653464328803095,0.1855109499741095,0.3653464328803095
34011550,동남구,봉명동,17018,3266,36.80956304774284,127.13407236943918,168.26172683988636,0.34222184210409895,0.5827865471856919,0.34222184210409895,0.5827865471856919
34011560,동남구,일봉동,23503,3779,36.79297658170548,127.14121569111178,462.53899549503075,0.2502988753587515,0.4927365921457133,0.2502988753587515,0.4927365921457133
34011570,동남구,신방동,42548,4919,36.778184948640025,127.12804172504876,516.3965464147781,0.19360313438805157,0.33554388724500966,0.19360313438805157,0.33554388724500966
34011580,동남구,청룡동,57873,7593,36.779806002902305,127.16127578994868,45.46625224990361,0.15147298981199384,0.2624426661038501,0.15147298981199384,0.2624426661038501
34011590,동남구,신안동,37842,5961,36.833640639021844,127.18045922367321,361.28531261215466,0.11672417840350802,0.20695099854939658,0.11672417840350802,0.20695099854939658
34012110,서북구,성환읍,21790,6538,36.932127785503965,127.12836421305099,1639.4343403170083,0.017410317611338096,0.037464492582843886,0.017410317611338096,0.037464492582843886
34012120,서북구,성거읍,21529,3881,36.87384657958502,127.19515828147986,580.3880509458346,0.04458938526238853,0.09516551759697858,0.04458938526238853,0.09516551759697858
34012130,서북구,직산읍,19287,3610,36.88535011575038,127.1379043990084,982.2608231833285,0.042384797901980346,0.08731703005675823,0.042384797901980346,0.08731703005675823
34012310,서북구,입장면,7565,2635,36.91045298548381,127.22579438057511,488.7264542606579,0.02684676279481108,0.062054238535837504,0.02684676279481108,0.062054238535837504
34012510,서북구,성정1동,16682,3478,36.81341969434567,127.14200518094366,257.10655891322216,0.26916899299867547,0.5310619587508625,0.26916899299867547,0.5310619587508625
34012520,서북구,성정2동,24628,3206,36.82406324487192,127.14019055146117,211.71810778276108,0.40592383809974636,0.7185051666351326,0.40592383809974636,0.7185051666351326
34012530,서북구,쌍용1동,12511,2634,36.80143524167771,127.13021046433184,122.51909602072091,0.472916249029185,0.7906098446164338,0.472916249029185,0.7906098446164338
34012540,서북구,쌍용2동,34211,4429,36.794240941782725,127.1184543634911,237.27681270327724,0.4818170982462667,0.747291791226216,0.4818170982462667,0.747291791226216
34012550,서북구,쌍용3동,17151,3040,36.80792362926307,127.1224977110886,229.68020326327675,0.4234306896322013,0.6942480015200092,0.4234306896322013,0.6942480015200092
34012580,서북구,백석동,40636,3396,36.82743549274576,127.11631308564151,262.49319702698756,0.527782043394131,0.8500042174815375,0.527782043394131,0.8500042174815375
34012600,서북구,부성1동,53305,4573,36.84958671108746,127.14912906268242,468.61762473869214,0.1253263200678355,0.22454318194984466,0.1253263200678355,0.22454318194984466
34012610,서북구,부성2동,63677,3391,36.84347363631293,127.12212930420695,240.441975952309,0.32722328728866823,0.5434841186285996,0.32722328728866823,0.5434841186285996
34012620,서북구,불당1동,31435,2019,36.8050949924212,127.10909939709401,92.87474032431363,0.38325981148297167,0.634183021686223,0.38325981148297167,0.634183021686223
34012630,서북구,불당2동,37133,1357,36.812719016400514,127.10329780797454,119.77635241041638,0.45983066969885916,0.6753801815171518,0.45983066969885916,0.6753801815171518
