facility_name,시도,sgg,emd,road,jibun,addr_used,lat,lon
(주)다원앨엔씨(사무실),,,,"충청남도 천안시 동남구 양지2길 32, 201호 (봉명동)",충청남도 천안시 동남구 봉명동 110-97,"충청남도 천안시 동남구 양지2길 32, 201호 (봉명동)",36.8099372899311,127.135903683216
(주)마니커천안공장(2공장가공사무실),,,,"충청남도 천안시 동남구 동면 화복로 551, (주)마니커 천안지점",충청남도 천안시 동남구 동면 화덕리 319-6 (주)마니커 천안지점,"충청남도 천안시 동남구 동면 화복로 551, (주)마니커 천안지점",36.7653244653759,127.40740589703
(주)마니커천안공장(1공장 날인실),,,,"충청남도 천안시 동남구 동면 화복로 551, (주)마니커 천안지점",충청남도 천안시 동남구 동면 화덕리 319-6 (주)마니커 천안지점,"충청남도 천안시 동남구 동면 화복로 551, (주)마니커 천안지점",36.7653244653759,127.40740589703
(주)마니커천안공장(보건관리실),,,,"충청남도 천안시 동남구 동면 화복로 551, (주)마니커 천안지점",충청남도 천안시 동남구 동면 화덕리 319-6 (주)마니커 천안지점,"충청남도 천안시 동남구 동면 화복로 551, (주)마니커 천안지점",36.7653244653759,127.40740589703
(주)아라리오(시외버스터미널대합실 매표소앞),,,,충청남도 천안시 동남구 만남로 40 (신부동),충청남도 천안시 동남구 신부동 462번지 1호,충청남도 천안시 동남구 만남로 40 (신부동),36.8186146341145,127.156623610052
(주)아라리오(B관 4층 CGV 로비 앞),,,,"충청남도 천안시 동남구 만남로 43, 신세계백화점천안아산점천안종합버스터미널 (신부동)",충청남도 천안시 동남구 신부동 354-1 신세계백화점천안아산점천안종합버스터미널,"충청남도 천안시 동남구 만남로 43, 신세계백화점천안아산점천안종합버스터미널 (신부동)",36.8193302097389,127.15784651678
(주)엔켐천안공장(사무동 1층 복도),,,,충청남도 천안시 동남구 풍세면 풍세산단5로 17,충청남도 천안시 동남구 풍세면 용정리 984,충청남도 천안시 동남구 풍세면 풍세산단5로 17,36.7329404630542,127.102147266848
(주)한솔제지(희원 사무실),,,,충청남도 천안시 동남구 광덕면 세종로 4186,충청남도 천안시 동남구 광덕면 행정리 40-1,충청남도 천안시 동남구 광덕면 세종로 4186,36.6894587845394,127.160296501106
(주)한솔제지(초지 시험실),,,,충청남도 천안시 동남구 광덕면 세종로 4186,충청남도 천안시 동남구 광덕면 행정리 40-1,충청남도 천안시 동남구 광덕면 세종로 4186,36.6894587845394,127.160296501106
(주)한솔제지(정문 보안실),,,,충청남도 천안시 동남구 광덕면 세종로 4186,충청남도 천안시 동남구 광덕면 행정리 40-1,충청남도 천안시 동남구 광덕면 세종로 4186,36.6894587845394,127.160296501106
(주)한솔제지(가공CP룸),,,,충청남도 천안시 동남구 광덕면 세종로 4186,충청남도 천안시 동남구 광덕면 행정리 40-1,충청남도 천안시 동남구 광덕면 세종로 4186,36.6894587845394,127.160296501106
(주)한솔제지(사무동 2층),,,,충청남도 천안시 동남구 광덕면 세종로 4186,충청남도 천안시 동남구 광덕면 행정리 40-1,충청남도 천안시 동남구 광덕면 세종로 4186,36.6894587845394,127.160296501106
(주)한솔제지(보일러실1층),,,,충청남도 천안시 동남구 광덕면 세종로 4186,충청남도 천안시 동남구 광덕면 행정리 40-1,충청남도 천안시 동남구 광덕면 세종로 4186,36.6894587845394,127.160296501106
(주)한솔제지(배차 대기실),,,,충청남도 천안시 동남구 광덕면 세종로 4186,충청남도 천안시 동남구 광덕면 행정리 40-1,충청남도 천안시 동남구 광덕면 세종로 4186,36.6894587845394,127.160296501106
(주)한솔제지(생활관1층),,,,충청남도 천안시 동남구 광덕면 세종로 4186,충청남도 천안시 동남구 광덕면 행정리 40-1,충청남도 천안시 동남구 광덕면 세종로 4186,36.6894587845394,127.160296501106
(주)한솔제지(보전팀 사무실),,,,충청남도 천안시 동남구 광덕면 세종로 4186,충청남도 천안시 동남구 광덕면 행정리 40-1,충청남도 천안시 동남구 광덕면 세종로 4186,36.6894587845394,127.160296501106
광덕보건지소(1층),,,,"충청남도 천안시 동남구 광덕면 신흥리3길 33-1, 광덕면보건지소",충청남도 천안시 동남구 광덕면 신흥리 296-1 광덕면보건지소,"충청남도 천안시 동남구 광덕면 신흥리3길 33-1, 광덕면보건지소",36.6985398137197,127.111600862658
광덕보산원보건진료소(1층),,,,충청남도 천안시 동남구 광덕면 외보1길 17,충청남도 천안시 동남구 광덕면 보산원리 90-3,충청남도 천안시 동남구 광덕면 외보1길 17,36.6868379938909,127.085637892197
광덕행정보건진료소(1층),,,,충청남도 천안시 동남구 광덕면 차령고개로 1017,충청남도 천안시 동남구 광덕면 행정리 121,충청남도 천안시 동남구 광덕면 차령고개로 1017,36.6860588676976,127.15681335883
대림한내아파트(관리동 1층),,,,"충청남도 천안시 동남구 터미널9길 31 (신부동, 대림한내아파트)",충청남도 천안시 동남구 신부동 544 대림한내아파트,"충청남도 천안시 동남구 터미널9길 31 (신부동, 대림한내아파트)",36.8241650303101,127.156541664507
대전지방검찰청천안지청(청사 1층 로비),,,,"충청남도 천안시 동남구 청수14로 67, 대전지방검찰청 천안지청 (청당동)",충청남도 천안시 동남구 청당동 475 대전지방검찰청 천안지청,"충청남도 천안시 동남구 청수14로 67, 대전지방검찰청 천안지청 (청당동)",36.7850918670425,127.153004116091
동남구보건소(1층),,,,충청남도 천안시 동남구 버들로 34(문화동),충청남도 천안시 동남구 문화동 112-14,충청남도 천안시 동남구 버들로 34(문화동),36.8074366368997,127.15119213199
동남구보건소(3층 의약팀),,,,충청남도 천안시 동남구 버들로 34 (문화동),충청남도 천안시 동남구 문화동 112-14,충청남도 천안시 동남구 버들로 34 (문화동),36.8074366368997,127.15119213199
동남구보건소(의약팀),,,,충청남도 천안시 동남구 버들로 34 (문화동),충청남도 천안시 동남구 문화동 112-14,충청남도 천안시 동남구 버들로 34 (문화동),36.8074366368997,127.15119213199
동면보건지소(1층),,,,"충청남도 천안시 동남구 동면 동산1길 15-1, 동면보건지소",충청남도 천안시 동남구 동면 화계리 181-3 동면보건지소,"충청남도 천안시 동남구 동면 동산1길 15-1, 동면보건지소",36.7761115262153,127.344363714346
동면화덕보건진료소(진료소 1층),,,,충청남도 천안시 동남구 동면 화덕1길 33,충청남도 천안시 동남구 동면 화덕리 495-1,충청남도 천안시 동남구 동면 화덕1길 33,36.7609287090386,127.395832330833
두레현대1단지아파트(관리사무소),,,,충청남도 천안시 동남구 일봉로 34,충청남도 천안시 동남구 일봉로 34,충청남도 천안시 동남구 일봉로 34,36.7918921187346,127.131859870354
두레현대2단지아파트(관리사무소 내),,,,"충청남도 천안시 동남구 서부대로 252 (신방동, 신방동두레현대아파트2단지)",충청남도 천안시 동남구 신방동 897 신방동두레현대아파트2단지,"충청남도 천안시 동남구 서부대로 252 (신방동, 신방동두레현대아파트2단지)",36.7915156728683,127.130352628969
목천덕전보건진료소(1층),,,,"충청남도 천안시 동남구 목천읍 유왕골2길 10, 의무과목천덕전보건진료소",충청남도 천안시 동남구 목천읍 덕전리 231 의무과목천덕전보건진료소,"충청남도 천안시 동남구 목천읍 유왕골2길 10, 의무과목천덕전보건진료소",36.8183185302099,127.22420872119
목천동우1차아파트(1층 관리사무소 입구),,,,충청남도 천안시 동남구 목천읍 신계1길 41 (동우아파트),충청남도 천안시 동남구 목천읍 신계리 422 동우아파트 (동우아파트),충청남도 천안시 동남구 목천읍 신계1길 41 (동우아파트),36.7734278731802,127.193062950803
목천보건지소(1층),,,,"충청남도 천안시 동남구 목천읍 서리1길 41-9, 보건과목천보건지소",충청남도 천안시 동남구 목천읍 서리 95-2 보건과목천보건지소,"충청남도 천안시 동남구 목천읍 서리1길 41-9, 보건과목천보건지소",36.7853924239062,127.234799125263
목천부영1차아파트(2층 관리사무소),,,,충청남도 천안시 동남구 목천읍 삼성5길 42 (부영아파트),충청남도 천안시 동남구 목천읍 삼성리 9-12 부영아파트,충청남도 천안시 동남구 목천읍 삼성5길 42 (부영아파트),36.7590267773911,127.177249499795
목천신도브래뉴1차아파트(관리사무실),,,,충청남도 천안시 동남구 목천읍 신계5길 47 (신도브래뉴1차아파트),충청남도 천안시 동남구 목천읍 신계리 103-4 신도브래뉴1차아파트 (신도브래뉴1차아파트),충청남도 천안시 동남구 목천읍 신계5길 47 (신도브래뉴1차아파트),36.7727338061452,127.215985500004
목천신도브래뉴1차아파트(경비실),,,,충청남도 천안시 동남구 목천읍 신계5길 47 (신도브래뉴1차아파트),충청남도 천안시 동남구 목천읍 신계리 103-4 신도브래뉴1차아파트 (신도브래뉴1차아파트),충청남도 천안시 동남구 목천읍 신계5길 47 (신도브래뉴1차아파트),36.7727338061452,127.215985500004
백석대학교(진리관 1F 에스원 상황실),,,,"충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)","충청남도 천안시 동남구 안서동 393 백석대학교,백석문화대학교","충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)",36.8388372068096,127.182520646399
백석대학교(체육관4F 주 체육관실 입구),,,,"충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)","충청남도 천안시 동남구 안서동 393 백석대학교,백석문화대학교","충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)",36.8388372068096,127.182520646399
백석대학교(백석생활관 2F 로비),,,,"충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)","충청남도 천안시 동남구 안서동 393 백석대학교,백석문화대학교","충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)",36.8388372068096,127.182520646399
백석대학교(백석홀 소강당 2F 로비),,,,"충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)","충청남도 천안시 동남구 안서동 393 백석대학교,백석문화대학교","충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)",36.8388372068096,127.182520646399
"백석대학교(백석홀 1F, 대강당 로비)",,,,"충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)","충청남도 천안시 동남구 안서동 393 백석대학교,백석문화대학교","충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)",36.8388372068096,127.182520646399
백석대학교(기독교학부실습관 1층 사무실 옆),,,,"충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)","충청남도 천안시 동남구 안서동 393 백석대학교,백석문화대학교","충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)",36.8388372068096,127.182520646399
백석대학교(지혜관 1층 로비),,,,"충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)","충청남도 천안시 동남구 안서동 393 백석대학교,백석문화대학교","충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)",36.8388372068096,127.182520646399
백석대학교(조형관 지하1층),,,,"충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)","충청남도 천안시 동남구 안서동 393 백석대학교,백석문화대학교","충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)",36.8388372068096,127.182520646399
백석대학교(본부동 1층),,,,"충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)","충청남도 천안시 동남구 안서동 393 백석대학교,백석문화대학교","충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)",36.8388372068096,127.182520646399
백석대학교(본부동 5층),,,,"충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)","충청남도 천안시 동남구 안서동 393 백석대학교,백석문화대학교","충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)",36.8388372068096,127.182520646399
백석대학교(조형관 8층),,,,"충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)","충청남도 천안시 동남구 안서동 393 백석대학교,백석문화대학교","충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)",36.8388372068096,127.182520646399
백석대학교(학생복지관 1층 로비),,,,"충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)","충청남도 천안시 동남구 안서동 393 백석대학교,백석문화대학교","충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)",36.8388372068096,127.182520646399
백석대학교(목양관 1층 로비),,,,"충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)","충청남도 천안시 동남구 안서동 393 백석대학교,백석문화대학교","충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)",36.8388372068096,127.182520646399
백석대학교(조형관 영상동 6F 복도),,,,"충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)","충청남도 천안시 동남구 안서동 393 백석대학교,백석문화대학교","충청남도 천안시 동남구 백석대학로 1, 백석대학교,백석문화대학교 (안서동)",36.8388372068096,127.182520646399
병천매성보건진료소(1층),,,,"충청남도 천안시 동남구 병천면 봉항로 586, 의무과병천매성보건지료소",충청남도 천안시 동남구 병천면 매성리 278-3 의무과병천매성보건지료소,"충청남도 천안시 동남구 병천면 봉항로 586, 의무과병천매성보건지료소",36.8111274504965,127.318330705038
병천보건지소(1층),,,,"충청남도 천안시 동남구 병천면 병천2로 57-1, 보건과병천보건지소",충청남도 천안시 동남구 병천면 병천리 360-1 보건과병천보건지소,"충청남도 천안시 동남구 병천면 병천2로 57-1, 보건과병천보건지소",36.767192908073,127.30258350089
봉명역(역 맞이방),,,,"충청남도 천안시 동남구 차돌로 51, 봉명역 (봉명동)",충청남도 천안시 동남구 봉명동 20-2 봉명역,"충청남도 천안시 동남구 차돌로 51, 봉명역 (봉명동)",36.8012573235829,127.135835679685
봉서산아이파크아파트(관리사무소입구),,,,"충청남도 천안시 동남구 봉명4길 29 (봉명동, 봉서산아이파크)",충청남도 천안시 동남구 봉명동 513번지 봉서산아이파크,"충청남도 천안시 동남구 봉명4길 29 (봉명동, 봉서산아이파크)",36.8065883437785,127.137443877493
