adm_cd_x,gu_x,emd_nm_x,pop_total,pop_65p,aed_count,aed_per_10k,aed_per_1k_65p,old_ratio,pred_poisson,resid_poisson,pred_nb,resid_nb,adm_cd_y,gu_y,emd_nm_y,resid_used,pred_used,std_resid
34012110,서북구,성환읍,21790,6538,8,3.67140890316659,1.223615784643622,0.30004589261128956,51.1641608399246,-43.1641608399246,57.96078550143722,-49.96078550143722,34012110,서북구,성환읍,-49.96078550143722,57.96078550143722,-6.562391358089409
34011340,동남구,성남면,2811,1283,4,14.22981145499822,3.117692907248636,0.456421202419068,56.934495377441266,-52.934495377441266,40.82892909626759,-36.82892909626759,34011340,동남구,성남면,-36.82892909626759,40.82892909626759,-5.763749482635989
34011580,동남구,청룡동,57873,7593,0,0.0,0.0,0.13120107822300556,13.266507998515467,-13.266507998515467,24.622692432473272,-24.622692432473272,34011580,동남구,청룡동,-24.622692432473272,24.622692432473272,-4.962125797727549
34011540,동남구,원성2동,8701,2723,2,2.2985863693828295,0.7344840249724568,0.31295253419147223,24.407077020441257,-22.407077020441257,26.625296723676733,-24.625296723676733,34011540,동남구,원성2동,-24.625296723676733,26.625296723676733,-4.772371505989517
34011590,동남구,신안동,37842,5961,0,0.0,0.0,0.15752338671317584,12.467427591707677,-12.467427591707677,21.42544903359056,-21.42544903359056,34011590,동남구,신안동,-21.42544903359056,21.42544903359056,-4.628763229372459
34011320,동남구,광덕면,3996,1735,15,37.53753753753754,8.645533141210375,0.4341841841841842,59.57524098349151,-44.57524098349151,45.59281249320378,-30.59281249320378,34011320,동남구,광덕면,-30.59281249320378,45.59281249320378,-4.530761622084554
34011510,동남구,중앙동,4612,1636,2,4.336513443191674,1.2224938875305624,0.3547267996530789,23.00531087605377,-21.00531087605377,22.21053486129728,-20.21053486129728,34011510,동남구,중앙동,-20.21053486129728,22.21053486129728,-4.2884297334497194
34011530,동남구,원성1동,7649,2203,0,0.0,0.0,0.2880115047718656,15.215813905985572,-15.215813905985572,17.854416877887587,-17.854416877887587,34011530,동남구,원성1동,-17.854416877887587,17.854416877887587,-4.225448719117011
34011330,동남구,북면,4113,1648,9,21.88183807439825,5.461165048543689,0.40068076829564797,38.64582355437896,-29.645823554378957,32.61955521711982,-23.619555217119817,34011330,동남구,북면,-23.619555217119817,32.61955521711982,-4.135544493086873
34012510,서북구,성정1동,16682,3478,0,0.0,0.0,0.20848819086440476,11.092835647412013,-11.092835647412013,16.423931226641592,-16.423931226641592,34012510,서북구,성정1동,-16.423931226641592,16.423931226641592,-4.052644966764494
